dataset,suite,model,seed,kind,device,wall_s,budget,split,acc,bacc,logloss,auroc,brier,ece,smece
acs_income_ca2pr,whyshift,lgbm,1,gbdt,cpu,174.5,5,ood,0.7245066696064381,0.7561261850939986,0.5551991679664192,0.8350794233147174,0.18638142210961897,0.2566112365529244,0.25633739223243956
acs_income_ca2pr,whyshift,lgbm,1,gbdt,cpu,174.5,10,id,0.8215,0.8156199369062542,0.38705109881109495,0.9022853215037541,0.1241457322746747,0.012317857306689646,0.015798199744838093
acs_income_ca2pr,whyshift,lgbm,1,gbdt,cpu,174.5,10,ood,0.7139234924484621,0.7575362863931121,0.5438485506643757,0.8413273898845486,0.1863336157732537,0.26908158989817105,0.268811461325213
acs_income_ca2pr,whyshift,lgbm,1,gbdt,cpu,174.5,20,id,0.8215,0.8156199369062542,0.38705109881109495,0.9022853215037541,0.1241457322746747,0.012317857306689646,0.015798199744838093
acs_income_ca2pr,whyshift,lgbm,1,gbdt,cpu,174.5,20,ood,0.7139234924484621,0.7575362863931121,0.5438485506643757,0.8413273898845486,0.1863336157732537,0.26908158989817105,0.268811461325213
acs_income_ca2pr,whyshift,lgbm,1,gbdt,cpu,174.5,30,id,0.8215,0.8156199369062542,0.38705109881109495,0.9022853215037541,0.1241457322746747,0.012317857306689646,0.015798199744838093
acs_income_ca2pr,whyshift,lgbm,1,gbdt,cpu,174.5,30,ood,0.7139234924484621,0.7575362863931121,0.5438485506643757,0.8413273898845486,0.1863336157732537,0.26908158989817105,0.268811461325213
acs_income_ca2pr,whyshift,lgbm,2,gbdt,cpu,199.4,0,id,0.8164,0.8110598358342431,0.39363419233947966,0.8989721701561024,0.12679821363624746,0.011714503066248598,0.014509504563154077
acs_income_ca2pr,whyshift,lgbm,2,gbdt,cpu,199.4,0,ood,0.6368647337669496,0.7350501060267987,0.6991171897454542,0.8242983015458043,0.2410197834337689,0.32644683604592145,0.32629669679471923
acs_income_ca2pr,whyshift,lgbm,2,gbdt,cpu,199.4,5,id,0.8173,0.8118599235930037,0.38970736987763255,0.900972162220118,0.12561946354864853,0.015823360971663366,0.014589032180844182
acs_income_ca2pr,whyshift,lgbm,2,gbdt,cpu,199.4,5,ood,0.6542828795061184,0.7438761864400044,0.6511917330685364,0.8353552263097215,0.22572736666674195,0.31276754185699707,0.31260962820766885
acs_income_ca2pr,whyshift,lgbm,2,gbdt,cpu,199.4,10,id,0.8178,0.8113558645849919,0.39228341892456237,0.9006390782089608,0.1259145737608581,0.01905817041516902,0.018829668637384375
acs_income_ca2pr,whyshift,lgbm,2,gbdt,cpu,199.4,10,ood,0.675890199536986,0.7495482548201748,0.5916327567819047,0.8379456464917064,0.20531874054576607,0.2959239741694295,0.2957067010514241
