dataset,suite,model,seed,kind,device,wall_s,split,acc,bacc,auroc,logloss,brier,ece,smece,optimism_gap,acc_degradation
acs_income_ca2pr,whyshift,tabpfn25,1,tfm,cuda,14.6,ood,0.7159078381655827,0.7613947081205683,0.8406607965431495,0.5651327276983886,0.19169326126152877,0.27008789258675076,0.2712974311498249,,0.10469216183441732
acs_income_ca2pr,whyshift,tabpfn25,2,tfm,cuda,14.4,id,0.815,0.8093904684528914,0.8983341914116445,0.3947677274929306,0.12751478187935977,0.01610066883265972,0.01667200044234429,,
acs_income_ca2pr,whyshift,tabpfn25,2,tfm,cuda,14.4,ood,0.6879065152684378,0.7516882758281205,0.8373580829185712,0.6055901526107098,0.20674257845120636,0.28401738181652747,0.2848526837793477,,0.12709348473156212
acs_income_ca2pr,whyshift,tabpfn25,3,tfm,cuda,14.4,id,0.8152,0.8086714512181079,0.8964975180482715,0.39939031063337155,0.12821743544983163,0.0185537545170635,0.01895932488005191,,
acs_income_ca2pr,whyshift,tabpfn25,3,tfm,cuda,14.4,ood,0.7032300738617573,0.7602589997151595,0.8422024859316757,0.5918275722747117,0.20082623554980636,0.2765818512141738,0.2769462478609627,,0.11196992613824275
acs_income_ca2pr,whyshift,tabpfn25,4,tfm,cuda,14.4,id,0.8154,0.8085561565450243,0.897863024778852,0.3965016296713726,0.12760883353573427,0.01802349379919471,0.01673827555120418,,
acs_income_ca2pr,whyshift,tabpfn25,4,tfm,cuda,14.4,ood,0.7138132510197333,0.7643459860440993,0.8421960763803161,0.5774669553478878,0.19547953566796492,0.2721468270311228,0.27215153964967853,,0.10158674898026676
acs_income_ca2pr,whyshift,tabpfn2,0,tfm,cuda,15.9,id,0.817,0.8108255945900599,0.8987122770944629,0.39280023054964475,0.1267808588927674,0.008138489837944499,0.010371846115619685,,
acs_income_ca2pr,whyshift,tabpfn2,0,tfm,cuda,15.9,ood,0.706096351008709,0.7586555222515267,0.8366696971025495,0.5667167662444292,0.19445248805608795,0.2731934214379832,0.27497662489044716,,0.1109036489912909
acs_income_ca2pr,whyshift,tabpfn2,1,tfm,cuda,15.9,id,0.8217,0.816184744838343,0.9037608843022257,0.384074125284269,0.12329132822786155,0.019003100516460845,0.017663935166678184,,
acs_income_ca2pr,whyshift,tabpfn2,1,tfm,cuda,15.9,ood,0.7169000110241429,0.7665305534339941,0.8471755286405676,0.5481901451916609,0.1872476630620967,0.2690577740536551,0.27178055383406713,,0.10479998897585707
acs_income_ca2pr,whyshift,tabpfn2,2,tfm,cuda,15.9,id,0.8152,0.8104879489597164,0.9000943886142432,0.3903561367141491,0.12621166841230103,0.0117450734404847,0.012906099968278295,,
acs_income_ca2pr,whyshift,tabpfn2,2,tfm,cuda,15.9,ood,0.689119170984456,0.7537408064600073,0.8401690557628405,0.5789922302113145,0.2001143093213999,0.2801708458668078,0.28277492174747276,,0.12608082901554407
acs_income_ca2pr,whyshift,tabpfn2,3,tfm,cuda,15.9,id,0.8159,0.809491370794152,0.8961902112388584,0.3986065465289248,0.12796826612673812,0.014076910997927189,0.014676626022446184,,
acs_income_ca2pr,whyshift,tabpfn2,3,tfm,cuda,15.9,ood,0.7041120052915886,0.7580037349737683,0.8414398775109098,0.5673163548242406,0.19450538142869145,0.2725723825457531,0.2743184471593479,,0.11178799470841139
acs_income_ca2pr,whyshift,tabpfn2,4,tfm,cuda,16.0,id,0.8165,0.8104626309143628,0.897828653767735,0.39557017682454526,0.12722135978518223,0.00897898984476923,0.012287750578514412,,
acs_income_ca2pr,whyshift,tabpfn2,4,tfm,cuda,16.0,ood,0.7083011795832874,0.7621791731114705,0.8418782908239069,0.5697895641657091,0.19529393538715178,0.2758820919974408,0.27607087112691964,,0.10819882041671258
acs_income_ca2pr,whyshift,xgb,0,gbdt,cpu,80.1,id,0.8166,0.8113659691404309,0.897605213202398,0.394687120358726,0.12756816649608946,0.011365994016826149,0.015471385924503103,-0.0029859806184845405,
acs_income_ca2pr,whyshift,xgb,0,gbdt,cpu,80.1,ood,0.6829456509756366,0.7530363967655865,0.8381647249571778,0.5849365565983474,0.203358083257249,0.28807025462415276,0.2878244335420352,,0.13365434902436335
acs_income_ca2pr,whyshift,xgb,1,gbdt,cpu,80.1,id,0.8232,0.8178011982364575,0.9027094464251196,0.38608324013357226,0.12379278368359371,0.011934282621741298,0.014268879070730866,-0.02255353998051035,
acs_income_ca2pr,whyshift,xgb,1,gbdt,cpu,80.1,ood,0.7143644581633778,0.7605314697434564,0.8437543665068638,0.5429460253433088,0.18581278368603812,0.2694781530090355,0.2692316643847775,,0.10883554183662225
acs_income_ca2pr,whyshift,xgb,2,gbdt,cpu,68.9,id,0.8182,0.812437307790045,0.9009980781691155,0.38948739344258254,0.1255176032256218,0.012090609978139396,0.013594487178927295,-0.012807622686382969,
acs_income_ca2pr,whyshift,xgb,2,gbdt,cpu,68.9,ood,0.6606768823723955,0.7456200971739262,0.835399067641021,0.6322190260574035,0.21980643486640083,0.31054906439799584,0.3103677523718276,,0.15752311762760451
acs_income_ca2pr,whyshift,xgb,3,gbdt,cpu,76.6,id,0.8137,0.8074047732920819,0.8961369853019815,0.3986295763926871,0.12825273581085636,0.013253649332374336,0.013190865540586325,-0.008540437716749394,
acs_income_ca2pr,whyshift,xgb,3,gbdt,cpu,76.6,ood,0.7030095910042994,0.7619680424896851,0.8466172567171457,0.5555607306728406,0.1916817599636537,0.2792599822415392,0.27900232610243936,,0.1106904089957006
acs_income_ca2pr,whyshift,xgb,4,gbdt,cpu,81.7,id,0.8152,0.8083868658729403,0.8971925212154135,0.39733994176102116,0.12765339052232144,0.014001192167960108,0.013235345284633134,-0.004495023339571469,
acs_income_ca2pr,whyshift,xgb,4,gbdt,cpu,81.7,ood,0.6972770367103958,0.7564712753391999,0.8363427458876959,0.5749639508027037,0.1972881150506196,0.2858920463637748,0.2856681392898145,,0.11792296328960428
